[14:50:26] ###LOG START###
[14:51:47] Kernel Time: 18.879871ms
[14:51:47] Kernel Time: 18.880705ms
[14:51:47] Kernel Time: 18.881248ms
[14:51:47] Kernel Time: 18.881376ms
[14:51:47] Kernel Time: 18.877216ms
[14:51:47] Kernel Time: 18.880320ms
[14:51:47] Kernel Time: 18.881632ms
[14:51:47] Kernel Time: 18.880417ms
[14:51:47] Kernel Time: 18.880512ms
[14:51:47] Kernel Time: 18.879744ms
[14:51:47] Kernel Time: 18.879265ms
[14:51:47] Kernel Time: 18.880287ms
[14:51:47] Kernel Time: 18.882751ms
[14:51:47] Kernel Time: 18.887072ms
[14:51:47] Kernel Time: 18.885441ms
[14:51:47] Kernel Time: 18.885183ms
[14:51:47] Kernel Time: 18.885441ms
[14:51:47] Kernel Time: 18.884705ms
[14:51:47] Kernel Time: 18.887009ms
[14:51:47] Kernel Time: 18.886305ms
[14:51:47] Kernel Time: 18.888544ms
[14:51:47] Kernel Time: 18.886496ms
[14:51:47] Kernel Time: 18.885824ms
[14:51:48] Kernel Time: 18.891041ms
[14:51:48] Kernel Time: 18.886560ms
[14:51:48] Kernel Time: 18.889025ms
[14:51:48] Kernel Time: 18.887903ms
[14:51:48] Kernel Time: 18.884672ms
[14:51:48] Kernel Time: 18.885696ms
[14:51:48] Kernel Time: 18.883648ms
[14:51:48] Kernel Time: 18.883841ms
[14:51:48] Kernel Time: 18.885183ms
[14:51:48] Kernel Time: 18.885376ms
[14:51:48] Kernel Time: 18.881376ms
[14:51:48] Kernel Time: 18.884192ms
[14:51:48] Kernel Time: 18.878912ms
[14:51:48] Kernel Time: 18.877920ms
[14:51:48] Kernel Time: 18.881376ms
[14:51:48] Kernel Time: 18.884289ms
[14:51:48] Kernel Time: 18.882208ms
[14:51:48] Kernel Time: 18.880287ms
[14:51:48] Kernel Time: 18.876673ms
[14:51:48] Kernel Time: 18.878719ms
[14:51:48] Kernel Time: 18.879520ms
[14:51:48] Kernel Time: 18.878656ms
[14:51:48] Kernel Time: 18.881023ms
[14:51:48] Kernel Time: 18.881184ms
[14:51:48] Kernel Time: 18.881760ms
[14:51:48] Kernel Time: 18.882336ms
[14:51:48] Kernel Time: 18.879520ms
[14:51:48] Kernel Time: 18.882208ms
[14:51:48] Kernel Time: 18.882368ms
[14:51:48] Kernel Time: 18.883360ms
[14:51:48] Kernel Time: 18.885153ms
[14:51:48] Kernel Time: 18.883808ms
[14:51:48] Kernel Time: 18.882273ms
[14:51:49] Kernel Time: 18.879999ms
[14:51:49] Kernel Time: 18.880735ms
[14:51:49] Kernel Time: 18.882015ms
[14:51:49] Kernel Time: 18.883425ms
[14:51:49] Kernel Time: 18.882273ms
[14:51:49] Kernel Time: 18.880896ms
[14:51:49] Kernel Time: 18.884895ms
[14:51:49] Kernel Time: 18.882721ms
[14:51:49] Kernel Time: 18.884607ms
[14:51:49] Kernel Time: 18.884256ms
[14:51:49] Kernel Time: 18.884800ms
[14:51:49] Kernel Time: 18.880863ms
[14:51:49] Kernel Time: 18.883425ms
[14:51:49] Kernel Time: 18.880608ms
[14:51:49] Kernel Time: 18.879776ms
[14:51:49] Kernel Time: 18.882433ms
[14:51:49] Kernel Time: 18.883360ms
[14:51:49] Kernel Time: 18.883039ms
[14:51:49] Kernel Time: 18.882561ms
[14:51:49] Kernel Time: 18.883936ms
[14:51:49] Kernel Time: 18.883520ms
[14:51:49] Kernel Time: 18.882816ms
[14:51:49] Kernel Time: 18.882433ms
[14:51:49] Kernel Time: 18.883680ms
[14:51:49] Kernel Time: 18.883904ms
[14:51:49] Kernel Time: 18.880960ms
[14:51:49] Kernel Time: 18.881121ms
[14:51:49] Kernel Time: 18.878719ms
[14:51:49] Kernel Time: 18.880640ms
[14:51:49] Kernel Time: 18.879040ms
[14:51:49] Kernel Time: 18.880640ms
[14:51:49] Kernel Time: 18.878496ms
[14:51:49] Kernel Time: 18.877632ms
[14:51:49] Kernel Time: 18.881857ms
[14:51:49] Kernel Time: 18.881599ms
[14:51:49] Kernel Time: 18.881952ms
[14:51:50] Kernel Time: 18.882240ms
[14:51:50] Kernel Time: 18.885599ms
[14:51:50] Kernel Time: 18.882463ms
[14:51:50] Kernel Time: 18.880447ms
[14:51:50] Kernel Time: 18.879393ms
[14:51:50] Kernel Time: 18.881952ms
[14:51:50] Kernel Time: 18.881760ms
[14:51:50] Kernel Time: 18.882240ms
[14:51:50] Kernel Time: 18.882336ms
[14:51:50] Kernel Time: 18.885311ms
[14:51:50] Kernel Time: 18.886433ms
[14:51:50] Kernel Time: 18.883392ms
[14:51:50] Kernel Time: 18.882208ms
[14:51:50] Kernel Time: 18.884800ms
[14:51:50] Kernel Time: 18.887169ms
[14:51:50] Kernel Time: 18.884417ms
[14:51:50] Kernel Time: 18.883488ms
[14:51:50] Kernel Time: 18.885023ms
[14:51:50] Kernel Time: 18.884865ms
[14:51:50] Kernel Time: 18.882816ms
[14:51:50] Kernel Time: 18.882273ms
[14:51:50] Kernel Time: 18.882624ms
[14:51:50] Kernel Time: 18.882336ms
[14:51:50] Kernel Time: 18.885729ms
[14:51:50] Kernel Time: 18.886911ms
[14:51:50] Kernel Time: 18.883871ms
[14:51:50] Kernel Time: 18.887392ms
[14:51:50] Kernel Time: 18.887808ms
[14:51:50] Kernel Time: 18.883488ms
[14:51:50] Kernel Time: 18.883841ms
[14:51:50] Kernel Time: 18.884384ms
[14:51:50] Kernel Time: 18.880384ms
[14:51:50] Kernel Time: 18.878592ms
[14:51:50] Kernel Time: 18.878817ms
[14:51:51] Kernel Time: 18.881920ms
[14:51:51] Kernel Time: 18.884352ms
[14:51:51] Kernel Time: 18.881599ms
[14:51:51] Kernel Time: 18.883455ms
[14:51:51] Kernel Time: 18.888063ms
[14:51:51] Kernel Time: 18.887873ms
[14:51:51] Kernel Time: 18.885441ms
[14:51:51] Kernel Time: 18.884577ms
[14:51:51] Kernel Time: 18.885088ms
[14:51:51] Kernel Time: 18.882849ms
[14:51:51] Kernel Time: 18.885408ms
[14:51:51] Kernel Time: 18.884289ms
[14:51:51] Kernel Time: 18.885120ms
[14:51:51] Kernel Time: 18.884800ms
[14:51:51] Kernel Time: 18.886433ms
[14:51:51] Kernel Time: 18.887585ms
[14:51:51] Kernel Time: 18.887072ms
[14:51:51] Kernel Time: 18.887808ms
[14:51:51] Kernel Time: 18.886881ms
[14:51:51] Kernel Time: 18.884096ms
[14:51:51] Kernel Time: 18.884705ms
[14:51:51] Kernel Time: 18.883265ms
[14:51:51] Kernel Time: 18.885311ms
